0,Ht.no,Subcode,Subname,Grade,Credits
618,C9,s6,s6,C,3
619,C9,s3,s3 Lab,B,2
620,C9,s1,s1 Lab,A,2
621,C9,iv,iv,A,2
622,D0,s1,s1,C,3
623,D0,s2,s2,D,3
624,D0,s3,s3,F,0
625,D0,s4,s4,F,0
626,D0,s5,s5,F,0
627,D0,s6,s6,D,3
628,D0,s3,s3 Lab,D,2
629,D0,s1,s1 Lab,O,2
630,D0,iv,iv,O,2
631,D2,s1,s1,A,3
632,D2,s2,s2,C,3
633,D2,s3,s3,C,3
634,D2,s4,s4,B,3
635,D2,s5,s5,C,3
636,D2,s6,s6,C,3
637,D2,s3,s3 Lab,B,2
638,D2,s1,s1 Lab,O,2
639,D2,iv,iv,O,2
640,D3,s1,s1,C,3
641,D3,s2,s2,C,3
642,D3,s3,s3,B,3
643,D3,s4,s4,C,3
644,D3,s5,s5,F,0
645,D3,s6,s6,C,3
646,D3,s3,s3 Lab,A,2
647,D3,s1,s1 Lab,O,2
648,D3,iv,iv,O,2
649,D5,s1,s1,D,3
650,D5,s2,s2,D,3
651,D5,s3,s3,D,3
652,D5,s4,s4,D,3
653,D5,s5,s5,F,0
654,D5,s6,s6,F,0
655,D5,s3,s3 Lab,B,2
656,D5,s1,s1 Lab,A,2
657,D5,iv,iv,O,2
658,D6,s1,s1,D,3
659,D6,s2,s2,D,3
660,D6,s3,s3,D,3
661,D6,s4,s4,D,3
662,D6,s5,s5,D,3
663,D6,s6,s6,F,0
664,D6,s3,s3 Lab,C,2
665,D6,s1,s1 Lab,A,2
666,D6,iv,iv,D,2
667,D7,s1,s1,O,3
668,D7,s2,s2,C,3
669,D7,s3,s3,B,3
670,D7,s4,s4,A,3
671,D7,s5,s5,B,3
672,D7,s6,s6,B,3
673,D7,s3,s3 Lab,A,2
674,D7,s1,s1 Lab,O,2
675,D7,iv,iv,O,2
676,D8,s1,s1,C,3
677,D8,s2,s2,C,3
678,D8,s3,s3,C,3
679,D8,s4,s4,B,3
680,D8,s5,s5,D,3
681,D8,s6,s6,D,3
682,D8,s3,s3 Lab,B,2
683,D8,s1,s1 Lab,A,2
684,D8,iv,iv,O,2
685,D9,s1,s1,C,3
686,D9,s2,s2,C,3
687,D9,s3,s3,C,3
688,D9,s4,s4,B,3
689,D9,s5,s5,B,3
690,D9,s6,s6,C,3
691,D9,s3,s3 Lab,B,2
692,D9,s1,s1 Lab,A,2
693,D9,iv,iv,O,2
694,E0,s1,s1,A,3
695,E0,s2,s2,C,3
696,E0,s3,s3,B,3
697,E0,s4,s4,B,3
698,E0,s5,s5,A,3
699,E0,s6,s6,B,3
700,E0,s3,s3 Lab,O,2
701,E0,s1,s1 Lab,O,2
702,E0,iv,iv,C,2
703,E1,s1,s1,C,3
704,E1,s2,s2,C,3
705,E1,s3,s3,D,3
706,E1,s4,s4,B,3
707,E1,s5,s5,C,3
708,E1,s6,s6,C,3
709,E1,s3,s3 Lab,A,2
710,E1,s1,s1 Lab,O,2
711,E1,iv,iv,O,2
712,E2,s1,s1,C,3
713,E2,s2,s2,C,3
714,E2,s3,s3,C,3
715,E2,s4,s4,B,3
716,E2,s5,s5,D,3
717,E2,s6,s6,C,3
718,E2,s3,s3 Lab,B,2
719,E2,s1,s1 Lab,A,2
720,E2,iv,iv,O,2
721,E3,s1,s1,C,3
722,E3,s2,s2,C,3
723,E3,s3,s3,C,3
724,E3,s4,s4,C,3
725,E3,s5,s5,C,3
726,E3,s6,s6,D,3
727,E3,s3,s3 Lab,B,2
728,E3,s1,s1 Lab,O,2
729,E3,iv,iv,O,2
730,E4,s1,s1,C,3
731,E4,s2,s2,C,3
732,E4,s3,s3,B,3
733,E4,s4,s4,B,3
734,E4,s5,s5,C,3
735,E4,s6,s6,C,3
736,E4,s3,s3 Lab,B,2
737,E4,s1,s1 Lab,A,2
738,E4,iv,iv,O,2
739,E6,s1,s1,B,3
740,E6,s2,s2,C,3
741,E6,s3,s3,B,3
742,E6,s4,s4,B,3
743,E6,s5,s5,B,3
744,E6,s6,s6,D,3
745,E6,s3,s3 Lab,A,2
746,E6,s1,s1 Lab,O,2
747,E6,iv,iv,O,2
748,E7,s1,s1,B,3
749,E7,s2,s2,C,3
750,E7,s3,s3,B,3
751,E7,s4,s4,A,3
752,E7,s5,s5,B,3
753,E7,s6,s6,B,3
754,E7,s3,s3 Lab,A,2
755,E7,s1,s1 Lab,O,2
756,E7,iv,iv,O,2
757,E8,s1,s1,C,3
758,E8,s2,s2,B,3
759,E8,s3,s3,A,3
760,E8,s4,s4,B,3
761,E8,s5,s5,C,3
762,E8,s6,s6,C,3
763,E8,s3,s3 Lab,A,2
764,E8,s1,s1 Lab,O,2
765,E8,iv,iv,A,2
766,E9,s1,s1,F,0
767,E9,s2,s2,D,3
768,E9,s3,s3,B,3
769,E9,s4,s4,C,3
770,E9,s5,s5,B,3
771,E9,s6,s6,D,3
772,E9,s3,s3 Lab,O,2
773,E9,s1,s1 Lab,A,2
774,E9,iv,iv,O,2
775,F0,s1,s1,AB,0
776,F0,s2,s2,AB,0
777,F0,s3,s3,AB,0
778,F0,s4,s4,AB,0
779,F0,s5,s5,AB,0
780,F0,s6,s6,AB,0
781,F0,s3,s3 Lab,AB,0
782,F0,s1,s1 Lab,AB,0
783,F0,iv,iv,D,2
784,F1,s1,s1,D,3
785,F1,s2,s2,C,3
786,F1,s3,s3,B,3
787,F1,s4,s4,B,3
788,F1,s5,s5,B,3
789,F1,s6,s6,C,3
790,F1,s3,s3 Lab,B,2
791,F1,s1,s1 Lab,A,2
792,F1,iv,iv,O,2
793,F2,s1,s1,F,0
794,F2,s2,s2,C,3
795,F2,s3,s3,D,3
796,F2,s4,s4,D,3
797,F2,s5,s5,F,0
798,F2,s6,s6,D,3
799,F2,s3,s3 Lab,B,2
800,F2,s1,s1 Lab,A,2
801,F2,iv,iv,O,2
802,F3,s1,s1,D,3
803,F3,s2,s2,C,3
804,F3,s3,s3,D,3
805,F3,s4,s4,D,3
806,F3,s5,s5,F,0
807,F3,s6,s6,F,0
808,F3,s3,s3 Lab,B,2
809,F3,s1,s1 Lab,A,2
810,F3,iv,iv,O,2
811,F4,s1,s1,D,3
812,F4,s2,s2,D,3
813,F4,s3,s3,C,3
814,F4,s4,s4,C,3
815,F4,s5,s5,F,0
816,F4,s6,s6,D,3
817,F4,s3,s3 Lab,A,2
818,F4,s1,s1 Lab,O,2
819,F4,iv,iv,O,2
820,F5,s1,s1,B,3
821,F5,s2,s2,B,3
822,F5,s3,s3,A,3
823,F5,s4,s4,A,3
824,F5,s5,s5,A,3
825,F5,s6,s6,B,3
826,F5,s3,s3 Lab,A,2
827,F5,s1,s1 Lab,O,2
828,F5,iv,iv,O,2
829,F6,s1,s1,A,3
830,F6,s2,s2,B,3
831,F6,s3,s3,A,3
832,F6,s4,s4,A,3
833,F6,s5,s5,A,3
834,F6,s6,s6,A,3
835,F6,s3,s3 Lab,O,2
836,F6,s1,s1 Lab,O,2
837,F6,iv,iv,O,2
838,F7,s1,s1,B,3
839,F7,s2,s2,B,3
840,F7,s3,s3,A,3
841,F7,s4,s4,A,3
842,F7,s5,s5,A,3
